en,es,vi,de,ar,ja,hi
planning pregnancy,planificación del embarazo,lên kế hoạch mang thai,Schwangerschaftsplanung,التخطيط للحمل,妊娠計画,गर्भावस्था की योजना बनाना
plant stings,picaduras de plantas,cây chích,Pflanzenstiche,لسعات النباتات,植物の毒針,पौधे के डंक
plantar fasciitis,fascitis plantar,viêm cân gan chân,Plantarfasziitis,التهاب اللفافة الأخمصية,足底筋膜炎,प्लांटर फैसिसाइटिस
pleural effusion,derrame pleural,tràn dịch màng phổi,Pleuraerguss,انصباب جنبي,胸水,फुफ्फुस बहाव
pleurisy,pleuritis,viêm màng phổi,Pleuritis,التهاب الجنبة,胸膜炎,फुस्फुस के आवरण में शोथ
pneumococcal disease,enfermedad neumocócica,bệnh phế cầu khuẩn,Pneumokokkenerkrankung,مرض المكورات الرئوية,肺炎球菌感染症,न्यूमोकोकल रोग
pneumonia,neumonía,viêm phổi,Lungenentzündung,التهاب رئوي,肺炎,न्यूमोनिया
pneumothorax,neumotórax,tràn khí màng phổi,Pneumothorax,استرواح الصدر,気胸,वातिलवक्ष
podiatrist,podólogo,bác sĩ chân,Podologe,مطبب الأرجل,足病医,पोडियाट्रिस्ट
poisoning,envenenamiento,ngộ độc,Vergiftung,تسمم,中毒,जहर
polio,polio,bệnh bại liệt,Polio,شلل الأطفال,ポリオ,पोलियो
pollen allergy,alergia al polen,dị ứng phấn hoa,Pollenallergie,حساسية حبوب اللقاح,花粉症,पराग से एलर्जी
polycystic ovarian syndrome,síndrome de ovario poliquístico,hội chứng buồng trứng đa nang,polyzystisches Ovarialsyndrom,متلازمة تكيس المبايض,多嚢胞性卵巣症候群,पॉलीसिस्टिक डिम्बग्रंथि सिंड्रोम
polymyalgia rheumatica,polimialgia reumática,viêm đa cơ dạng thấp,Polymyalgia rheumatica,التهاب العضلات الروماتيزمي,リウマチ性多発筋痛症,पोलिमेल्जिया रुमेटिका
polyps,pólipos,polyp,Polypen,الزوائد اللحمية,ポリープ,जंतु
porphyria,porfiria,bệnh rối loạn chuyển hóa porphyrin,Porphyrie,البورفيريا,ポルフィリン症,आनुवांशिक असामान्यता
positron emission tomography,tomografía por emisión de positrones,chụp cắt lớp phát xạ positron,Positronen-Emissions-Tomographie,التصوير المقطعي بالإصدار البوزيتروني,陽電子放出断層撮影,पॉज़िट्रॉन उत्सर्जन टोमोग्राफी
post menopause,posmenopausia,sau mãn kinh,postmenopausen,ما بعد انقطاع الطمث,閉経後,रजोनिवृत्ति के बाद
post-nasal drip,goteo posnasal,chảy dịch mũi sau,postnasales Tropfen,سيلان الأنف الخلفي,後鼻漏,पोस्ट नेज़ल ड्रिप
post-traumatic stress disorder,trastorno de estrés postraumático,rối loạn căng thẳng sau chấn thương,posttraumatische Belastungsstörung,اضطراب ما بعد الصدمة,心的外傷後ストレス障害,अभिघातज के बाद का तनाव विकार
posterior prolapse,prolapso posterior,sa tạng sau,hinterer Prolaps,تدلي الجزء الخلفي من الجسم,後方脱出,पश्चवर्ती प्रोलैप्स
posterior repair,reparación posterior,sửa chữa phía sau,hintere Reparatur,إصلاح خلفي,後方修復,पश्चवर्ती मरम्मत
postnatal depression,depresión posparto,trầm cảm sau sinh,postnatale Depression,اكتئاب ما بعد الولادة,産後うつ病,प्रसवोत्तर अवसाद
postural orthostatic tachycardia syndrome,síndrome de taquicardia ortostática postural,hội chứng nhịp tim nhanh tư thế đứng,Posturales orthostatisches Tachykardiesyndrom,متلازمة تسرع القلب الوضعي الانتصابي,起立性頻脈症候群,पोस्टुरल ऑर्थोस्टैटिक टैचीकार्डिया सिंड्रोम
potassium and your health,El potasio y su salud,Kali và sức khỏe của bạn,Kalium und Ihre Gesundheit,البوتاسيوم وصحتك,カリウムとあなたの健康,पोटेशियम और आपका स्वास्थ्य
potassium deficiency,deficiencia de potasio,thiếu kali,Kaliummangel,نقص البوتاسيوم,カリウム欠乏症,पोटेशियम की कमी
prader-willi syndrome,síndrome de Prader-Willi,hội chứng Prader-Willi,Prader-Willi-Syndrom,متلازمة برادر ويلي,プラダー・ウィリー症候群,प्रेडर-विली सिंड्रोम
pre-diabetes,prediabetes,tiền tiểu đường,Prädiabetes,مقدمات السكري,糖尿病予備軍,पूर्व मधुमेह
pre-eclampsia,preeclampsia,tiền sản giật,Präeklampsie,تسمم الحمل,妊娠高血圧症候群,पूर्व प्रसवाक्षेप
pre-exposure prophylaxis,profilaxis preexposición,dự phòng trước phơi nhiễm,Präexpositionsprophylaxe,الوقاية قبل التعرض,曝露前予防,पूर्व-एक्सपोज़र प्रोफिलैक्सिस
prednisolone,prednisolona,prednisolone,Prednisolon,بريدنيزولون,プレドニゾロン,प्रेडनिसोलोन
pregnancy,embarazo,mang thai,Schwangerschaft,الحمل,妊娠,गर्भावस्था
pregnancy warning signs,señales de alerta del embarazo,dấu hiệu cảnh báo mang thai,Warnzeichen in der Schwangerschaft,علامات تحذيرية للحمل,妊娠の警告サイン,गर्भावस्था के चेतावनी संकेत
premature and early menopause,menopausia precoz y temprana,mãn kinh sớm và sớm,vorzeitige und frühe Menopause,انقطاع الطمث المبكر وانقطاع الطمث المبكر,早発閉経,असमय और जल्दी रजोनिवृत्ति
premature ejaculation,eyaculación precoz,xuất tinh sớm,vorzeitiger Samenerguss,سرعة القذف,早漏,शीघ्रपतन
premenstrual syndrome,síndrome premenstrual,hội chứng tiền kinh nguyệt,Prämenstruelles Syndrom,متلازمة ما قبل الحيض,月経前症候群,प्रागार्तव
preparing for surgery,preparación para la cirugía,chuẩn bị cho ca phẫu thuật,Vorbereitung auf die Operation,الاستعداد للجراحة,手術の準備,सर्जरी की तैयारी
presbyopia,presbicia,lão thị,Alterssichtigkeit,قصر النظر الشيخوخي,老眼,जरादूरदृष्टि
pressure sores,úlceras por presión,vết loét do áp lực,Druckgeschwüre,تقرحات الضغط,褥瘡,प्रेशर सोर
prickly heat,sarpullido por calor,rôm sảy,Hitzepickel,الحرارة الشائكة,あせも,तेज गर्मी के कारण दाने निकलना
primary aldosteronism,aldosteronismo primario,bệnh cường aldosteron nguyên phát,primärer Aldosteronismus,فرط الألدوستيرونية الأولي,原発性アルドステロン症,प्राथमिक एल्डोस्टेरोनिज़्म
primary amoebic meningoencephalitis,meningoencefalitis amebiana primaria,viêm màng não do amip nguyên phát,primäre Amöbenmeningoenzephalitis,التهاب السحايا والدماغ الأميبي الأولي,原発性アメーバ性髄膜脳炎,प्राथमिक अमीबिक मेनिंगोएन्सेफलाइटिस
primary anti-reflux surgery,cirugía antirreflujo primaria,phẫu thuật chống trào ngược chính,primäre Antireflux-Operation,جراحة الارتجاع الأولية,一次逆流防止手術,प्राथमिक एंटी-रिफ्लक्स सर्जरी
private health insurance,seguro médico privado,bảo hiểm y tế tư nhân,private Krankenversicherung,التأمين الصحي الخاص,民間医療保険,निजी स्वास्थ्य बीमा
probiotics,probióticos,men vi sinh,Probiotika,البروبيوتيك,プロバイオティクス,प्रोबायोटिक्स
proctitis,proctitis,viêm trực tràng,Proktitis,التهاب المستقيم,直腸炎,प्रोक्टाइटिस
progestogen-only contraceptive pill,píldora anticonceptiva de solo progestágeno,thuốc tránh thai chỉ chứa progestogen,Gestagen-Monopräparat,حبوب منع الحمل التي تحتوي على البروجستيرون فقط,プロゲステロン単剤の経口避妊薬,केवल प्रोजेस्टोजेन युक्त गर्भनिरोधक गोली
prolapsed uterus,prolapso uterino,sa tử cung,Gebärmuttervorfall,هبوط الرحم,子宮脱,गर्भाशय का अग्रभाग
prolonged erection,erección prolongada,cương cứng kéo dài,verlängerte Erektion,انتصاب مطول,持続勃起,लंबे समय तक इरेक्शन
prostate cancer,cáncer de próstata,ung thư tuyến tiền liệt,Prostatakrebs,سرطان البروستاتا,前立腺がん,प्रोस्टेट कैंसर
prostate problems,problemas de próstata,các vấn đề về tuyến tiền liệt,Prostataprobleme,مشاكل البروستاتا,前立腺の問題,प्रोस्टेट संबंधी समस्याएं
prostheses,prótesis,bộ phận giả,Prothesen,الأطراف الاصطناعية,義肢,कृत्रिम अंग
protein,proteína,protein,Protein,بروتين,タンパク質,प्रोटीन
prothrombin time,tiempo de protrombina,thời gian prothrombin,Prothrombinzeit,زمن البروثرومبين,プロトロンビン時間,प्रोथॉम्बिन समय
pruritus ani,prurito anal,ngứa hậu môn,Pruritus ani,حكة شرجية,肛門のかゆみ,गुदा में खुजली
psa test,prueba de PSA,xét nghiệm PSA,PSA-Test,اختبار مستضد البروستات النوعي (PSA),PSA検査,पीएसए परीक्षण
psoriasis,soriasis,bệnh vẩy nến,Schuppenflechte,صدفية,乾癬,सोरायसिस
psoriasis medication,medicamentos para la psoriasis,thuốc trị bệnh vảy nến,Psoriasis-Medikamente,أدوية الصدفية,乾癬治療薬,सोरायसिस की दवा
psoriatic arthritis,artritis psoriásica,viêm khớp vảy nến,Psoriasis-Arthritis,التهاب المفاصل الصدفي,乾癬性関節炎,सोरायटिक गठिया
psychiatrist,psiquiatra,bác sĩ tâm thần,Psychiater,طبيب نفساني,精神科医,मनोचिकित्सक
psychological trauma,trauma psicológico,chấn thương tâm lý,psychisches Trauma,الصدمة النفسية,心理的トラウマ,मनोवैज्ञानिक आघात
psychologists,psicólogos,các nhà tâm lý học,Psychologen,علماء النفس,心理学者,मनोवैज्ञानिकों
psychosis,psicosis,loạn thần,Psychose,ذهان,精神病,मनोविकृति
psychotherapy,psicoterapia,liệu pháp tâm lý,Psychotherapie,العلاج النفسي,心理療法,मनोचिकित्सा
ptosis surgery,cirugía de ptosis,phẫu thuật sụp mí mắt,Ptosis-Operation,جراحة تدلي الجفن,眼瞼下垂手術,पलकों के गिरने की सर्जरी
puberty,pubertad,tuổi dậy thì,Pubertät,بلوغ,思春期,तरुणाई
pubic lice,piojos púbicos,rận mu,Filzläuse,قمل العانة,陰毛ジラミ,जघन जूँ
public and private hospital systems,sistemas hospitalarios públicos y privados,hệ thống bệnh viện công và tư,öffentliche und private Krankenhaussysteme,أنظمة المستشفيات العامة والخاصة,公立および私立病院システム,सार्वजनिक और निजी अस्पताल प्रणालियाँ
pulmonary embolism,embolia pulmonar,tắc mạch phổi,Lungenembolie,الانصمام الرئوي,肺塞栓症,फुफ्फुसीय अंतःशल्यता
pulmonary fibrosis,fibrosis pulmonar,xơ phổi,Lungenfibrose,التليف الرئوي,肺線維症,फेफड़े की तंतुमयता
pulmonary hypertension,hipertensión pulmonar,tăng huyết áp động mạch phổi,pulmonale Hypertonie,ارتفاع ضغط الشريان الرئوي,肺高血圧症,फेफड़ों की धमनियों में उच्च रक्तचाप
punch biopsy of a skin lesion,biopsia por punción de una lesión cutánea,sinh thiết bấm lỗ tổn thương da,Stanzbiopsie einer Hautläsion,خزعة جلدية بالثقب,皮膚病変のパンチ生検,त्वचा के घाव की पंच बायोप्सी
pyloromyotomy,piloromiotomía,phẫu thuật cắt cơ môn vị,Pyloromyotomie,بضع البواب,幽門筋切開術,पाइलोरोमायोटॉमी
q fever,fiebre q,sốt q,Q-Fieber,حمى كيو,Q熱,क्यू बुखार
question builder,creador de preguntas,công cụ xây dựng câu hỏi,Fragengenerator,أداة إنشاء الأسئلة,質問作成ツール,प्रश्न निर्माता
questions to ask before taking a medicine,preguntas que debe hacerse antes de tomar un medicamento,Những câu hỏi cần đặt ra trước khi dùng thuốc.,"Fragen, die man sich vor der Einnahme eines Medikaments stellen sollte",أسئلة يجب طرحها قبل تناول الدواء,薬を服用する前に尋ねるべき質問,दवा लेने से पहले पूछे जाने वाले प्रश्न
questions to ask your doctor,preguntas que debe hacerle a su médico,những câu hỏi cần hỏi bác sĩ,Fragen an Ihren Arzt,أسئلة لطرحها على طبيبك,医師に尋ねるべき質問,अपने डॉक्टर से पूछने योग्य प्रश्न
quit smoking,dejar de fumar,bỏ thuốc lá,Mit dem Rauchen aufhören,الإقلاع عن التدخين,禁煙する,धूम्रपान छोड़ने
quitting vaping,dejar de vapear,bỏ thuốc lá điện tử,Aufhören mit dem Dampfen,الإقلاع عن التدخين الإلكتروني,電子タバコをやめる,वेपिंग छोड़ना
rabies,rabia,bệnh dại,Tollwut,داء الكلب,狂犬病,रेबीज
radio-frequency endometrial ablation,ablación endometrial por radiofrecuencia,đốt nội mạc tử cung bằng sóng tần số vô tuyến,Radiofrequenzablation des Endometriums,استئصال بطانة الرحم بالترددات الراديوية,高周波子宮内膜アブレーション,रेडियो-आवृत्ति एंडोमेट्रियल एब्लेशन
radiographer,radiógrafo,kỹ thuật viên chụp X-quang,Radiologe,أخصائي الأشعة,放射線技師,रेडियोग्राफ़ पर काम करनेवाल
radiologist,radiólogo,bác sĩ X quang,Radiologe,أخصائي الأشعة,放射線科医,रेडियोलोकेशन करनेवाला
radiotherapy,radioterapia,xạ trị,Strahlentherapie,العلاج الإشعاعي,放射線療法,रेडियोथेरेपी
rape,violación,hiếp dâm,vergewaltigen,اغتصاب,レイプ,बलात्कार
rashes,erupciones,phát ban,Ausschläge,طفح جلدي,発疹,चकत्ते
raynaud's phenomenon,fenómeno de Raynaud,hội chứng Raynaud,Raynaud-Phänomen,ظاهرة رينود,レイノー現象,रेनॉड की घटना
recalls of medicines,retiradas de medicamentos,thu hồi thuốc,Rückrufe von Medikamenten,سحب الأدوية,医薬品のリコール,दवाओं की वापसी
recovery,recuperación,sự hồi phục,Erholung,استعادة,回復,वसूली
rectal bleeding,sangrado rectal,chảy máu trực tràng,Rektale Blutungen,نزيف شرجي,直腸出血,मलाशय से रक्तस्राव
rectal cancer,cáncer de recto,ung thư trực tràng,Rektumkarzinom,سرطان المستقيم,直腸がん,मलाशय कैंसर
rectal diseases and conditions,enfermedades y afecciones rectales,các bệnh và tình trạng trực tràng,Erkrankungen und Beschwerden des Rektums,أمراض وحالات المستقيم,直腸疾患および症状,मलाशय संबंधी रोग और स्थितियाँ
rectocele,rectocele,sa trực tràng,Rektozele,فتق المستقيم,直腸瘤,रेक्टोसील
red blood cells,glóbulos rojos,hồng cầu,rote Blutkörperchen,خلايا الدم الحمراء,赤血球,लाल रक्त कोशिकाओं
reducing visceral fat,reducción de la grasa visceral,giảm mỡ nội tạng,Reduzierung des viszeralen Fetts,تقليل الدهون الحشوية,内臓脂肪を減らす,आंतरिक अंगों की चर्बी कम करना
reducing your risk of developing a blood clot,reducir el riesgo de desarrollar un coágulo de sangre,giảm nguy cơ hình thành cục máu đông,Verringerung des Risikos der Bildung eines Blutgerinnsels,تقليل خطر الإصابة بجلطة دموية,血栓ができるリスクを軽減する,रक्त का थक्का बनने के जोखिम को कम करना
referrals,referencias,giới thiệu,Empfehlungen,الإحالات,紹介,रेफरल
reflux,reflujo,trào ngược,Reflux,الارتجاع,還流,भाटा
refractive errors,errores de refracción,tật khúc xạ,Refraktionsfehler,أخطاء الانكسار,屈折異常,अपवर्तक त्रुटियाँ
rehabilitation,rehabilitación,phục hồi chức năng,Rehabilitation,إعادة التأهيل,リハビリテーション,पुनर्वास
rehabilitation after illness or injury,rehabilitación después de una enfermedad o lesión,Phục hồi chức năng sau khi ốm đau hoặc chấn thương,Rehabilitation nach Krankheit oder Verletzung,إعادة التأهيل بعد المرض أو الإصابة,病気や怪我からの回復,बीमारी या चोट के बाद पुनर्वास
relaxation techniques for stress relief,técnicas de relajación para aliviar el estrés,các kỹ thuật thư giãn để giảm căng thẳng,Entspannungstechniken zur Stressbewältigung,تقنيات الاسترخاء لتخفيف التوتر,ストレス解消のためのリラクゼーションテクニック,तनाव से राहत पाने के लिए विश्राम तकनीकें
remedial massage,masaje terapéutico,massage trị liệu,Heilmassage,التدليك العلاجي,治療マッサージ,उपचारात्मक मालिश
removing benign skin lesions,Extirpación de lesiones cutáneas benignas,loại bỏ các tổn thương da lành tính,Entfernung gutartiger Hautläsionen,إزالة الآفات الجلدية الحميدة,良性皮膚病変の除去,सौम्य त्वचा घावों को हटाना
removing metalwork,eliminación de trabajos metálicos,tháo dỡ các bộ phận kim loại,Metallarbeiten entfernen,إزالة المشغولات المعدنية,金属加工品の取り外し,धातु के काम को हटाना
removing permanent teeth,extracción de dientes permanentes,nhổ răng vĩnh viễn,Entfernung bleibender Zähne,إزالة الأسنان الدائمة,永久歯の抜歯,स्थायी दांत निकालना
reporting problems with medicines,informar sobre problemas con los medicamentos,báo cáo các vấn đề liên quan đến thuốc,Meldung von Problemen mit Medikamenten,الإبلاغ عن مشاكل الأدوية,医薬品に関する問題の報告,दवाओं से संबंधित समस्याओं की रिपोर्टिंग
residential aged care,residencias para ancianos,chăm sóc người cao tuổi tại nhà,stationäre Altenpflege,دور رعاية المسنين,高齢者向け居住型介護施設,आवासीय वृद्ध देखभाल
resilience,resiliencia,khả năng phục hồi,Widerstandsfähigkeit,صمود,回復力,लचीलापन
respiratory syncytial virus,Virus sincitial respiratorio,vi-rút thể hợp bào gây bệnh lý hô hấp,Respiratorisches Synzytial-Virus,الفيروس المخلوي التنفسي,RSウイルス,श्वसनतंत्र संबंधी बहुकेंद्रकी वाइरस
respiratory system,sistema respiratorio,hệ hô hấp,Atmungssystem,الجهاز التنفسي,呼吸器系,श्वसन प्रणाली
respiratory viruses,virus respiratorios,vi rút đường hô hấp,Atemwegsviren,الفيروسات التنفسية,呼吸器ウイルス,श्वसन वायरस
respite care,cuidados de relevo,chăm sóc tạm thời,Kurzzeitpflege,الرعاية المؤقتة,短期入所介護,राहत देखभाल
resting heart rate,frecuencia cardíaca en reposo,nhịp tim khi nghỉ ngơi,Ruhepuls,معدل ضربات القلب أثناء الراحة,安静時心拍数,विश्राम के समय हृदय गति
restless legs syndrome,síndrome de piernas inquietas,hội chứng chân không yên,Restless-Legs-Syndrom,متلازمة تململ الساقين,むずむず脚症候群,बेचैन पैर सिंड्रोम
retained object or tampon,objeto retenido o tampón,vật thể sót lại hoặc băng vệ sinh,Fremdkörper oder Tampon,جسم عالق أو سدادة قطنية,体内に異物またはタンポンが残っている,अंदर फंसी हुई वस्तु या टैम्पोन
retinal detachment,desprendimiento de retina,bong võng mạc,Netzhautablösung,انفصال الشبكية,網膜剥離,रेटिना का अलग होना
retinal detachment surgery,cirugía de desprendimiento de retina,phẫu thuật bong võng mạc,Netzhautablösungsoperation,جراحة انفصال الشبكية,網膜剥離手術,रेटिना अलग होने की सर्जरी
retinitis pigmentosa,retinitis pigmentosa,viêm võng mạc sắc tố,Retinitis pigmentosa,التهاب الشبكية الصباغي,網膜色素変性症,रेटिनाइटिस पिगमेंटोसा
rett syndrome,síndrome de Rett,hội chứng Rett,Rett-Syndrom,متلازمة ريت,レット症候群,रेट सिंड्रोम
reversal of hartmann's procedure,Reversión del procedimiento de Hartmann,đảo ngược quy trình Hartmann,Umkehrung des Hartmann-Verfahrens,عكس إجراء هارتمان,ハルトマン手術の逆転,हार्टमैन की प्रक्रिया का उलटफेर
reversing a vasectomy,revertir una vasectomía,đảo ngược quá trình thắt ống dẫn tinh,Rückgängigmachung einer Vasektomie,عكس عملية قطع القناة المنوية,精管切除術を元に戻す,नसबंदी को उलटना
revision total hip replacement,Revisión de reemplazo total de cadera,phẫu thuật thay khớp háng toàn phần tái tạo,Revisions-Totalhüftprothese,مراجعة استبدال مفصل الورك الكلي,人工股関節再置換術,कुल कूल्हे के प्रतिस्थापन का संशोधन
revision total knee replacement,Revisión de reemplazo total de rodilla,phẫu thuật thay khớp gối toàn phần tái tạo,Revisions-Kniegelenkersatz,مراجعة استبدال مفصل الركبة الكلي,人工膝関節再置換術,कुल घुटने के प्रतिस्थापन का संशोधन
revision total shoulder replacement,Revisión de reemplazo total de hombro,phẫu thuật thay khớp vai toàn phần tái tạo,Revisions-Total-Schulterprothese,مراجعة استبدال الكتف بالكامل,人工肩関節全置換術の再置換,कुल कंधे के प्रतिस्थापन का संशोधन
rhabdomyolysis,rabdomiólisis,tiêu cơ vân,Rhabdomyolyse,انحلال الربيدات,横紋筋融解症,रैबडोमायोलिसिस
rheumatic fever,fiebre reumática,sốt thấp khớp,rheumatisches Fieber,الحمى الروماتيزمية,リウマチ熱,वातज्वर
rheumatic heart disease,enfermedad cardíaca reumática,bệnh tim thấp khớp,rheumatisches Herzleiden,مرض القلب الروماتيزمي,リウマチ性心疾患,रुमेटिक हृदय रोग
rheumatoid arthritis,artritis reumatoide,viêm khớp dạng thấp,rheumatoide Arthritis,التهاب المفصل الروماتويدي,関節リウマチ,रूमेटाइड गठिया
rhinoplasty,rinoplastia,phẫu thuật thẩm mỹ mũi,Nasenkorrektur,عملية تجميل الأنف,鼻形成術,रिनोप्लास्टी
rhinosinusitis,rinosinusitis,viêm xoang mũi,Rhinosinusitis,التهاب الجيوب الأنفية,副鼻腔炎,राइनोसिनुसाइटिस
rhinovirus,rinovirus,rhinovirus,Rhinovirus,فيروس الأنف,ライノウイルス,rhinovirus
rickets,raquitismo,còi xương,Rachitis,الكساح,くる病,सूखा रोग
rights of consumers,derechos de los consumidores,quyền của người tiêu dùng,Rechte der Verbraucher,حقوق المستهلكين,消費者の権利,उपभोक्ताओं के अधिकार
rigid cystoscopy,cistoscopia rígida,nội soi bàng quang cứng,starre Zystoskopie,تنظير المثانة الصلب,硬性膀胱鏡検査,कठोर सिस्टोस्कोपी
ringing in the ears,zumbido en los oídos,ù tai,Klingeln in den Ohren,طنين في الأذنين,耳鳴りがする,कान में घंटी बज रही है
root canal treatment,tratamiento de conducto radicular,điều trị tủy răng,Wurzelkanalbehandlung,علاج قناة الجذر,根管治療,रूट कैनाल उपचार
rosacea,rosácea,bệnh trứng cá đỏ,Rosacea,العُدّ الوردي,酒さ様皮膚炎,rosacea
roseola infantum,roséola infantil,bệnh sởi ở trẻ sơ sinh,Roseola infantum,الوردية الطفولية,乳児バラ疹,रोजियोला इन्फेंटम
ross river virus infection,infección por el virus del río Ross,nhiễm virus sông Ross,Ross-River-Virus-Infektion,عدوى فيروس نهر روس,ロスリバーウイルス感染症,रॉस नदी वायरस संक्रमण
rotator cuff injury,lesión del manguito rotador,chấn thương gân cơ xoay vai,Rotatorenmanschettenverletzung,إصابة الكفة المدورة,回旋筋腱板損傷,रोटेटर कफ की चोट
rotavirus infection,infección por rotavirus,nhiễm trùng rotavirus,Rotavirusinfektion,عدوى فيروس الروتا,ロタウイルス感染症,रोटावायरस संक्रमण
routine antenatal tests,pruebas prenatales de rutina,xét nghiệm tiền sản định kỳ,routinemäßige pränatale Tests,الفحوصات الروتينية قبل الولادة,定期的な妊婦健診,नियमित प्रसवपूर्व परीक्षण
rsi,rsi,rsi,RSI,مؤشر الكسر الرسغي,rsi,आरएसआई
rsv,rsv,rsv,rsv,rsv,RSV,आरएसवी
rubella,rubéola,bệnh rubella,Röteln,الحصبة الألمانية,風疹,रूबेला
running,correr,đang chạy,läuft,جري,ランニング,दौड़ना
runny nose,goteo nasal,sổ mũi,laufende Nase,سيلان الأنف,鼻水,बहती नाक
rural and remote health,salud rural y remota,y tế nông thôn và vùng sâu vùng xa,ländliche und abgelegene Gesundheitsversorgung,الصحة الريفية والنائية,農村部および遠隔地の医療,ग्रामीण और दूरस्थ स्वास्थ्य
rural health services,servicios de salud rurales,dịch vụ y tế nông thôn,ländliche Gesundheitsdienste,خدمات الصحة الريفية,農村部の医療サービス,ग्रामीण स्वास्थ्य सेवाएं
sacroiliitis,sacroileítis,viêm khớp cùng chậu,Sakroiliitis,التهاب المفصل العجزي الحرقفي,仙腸関節炎,सैक्रोइलिटिस
safe exercise for children,Ejercicio seguro para niños,bài tập thể dục an toàn cho trẻ em,sichere Bewegung für Kinder,ممارسة الرياضة الآمنة للأطفال,子供のための安全な運動,बच्चों के लिए सुरक्षित व्यायाम
safe sex,sexo seguro,quan hệ tình dục an toàn,sicherer Sex,ممارسة الجنس الآمن,安全なセックス,सुरक्षित यौन संबंध
salmonella,salmonela,vi khuẩn Salmonella,Salmonellen,السالمونيلا,サルモネラ,साल्मोनेला
salpingectomy,salpingectomía,cắt bỏ ống dẫn trứng,Salpingektomie,استئصال البوق,卵管切除術,सैल्पिंगेक्टोमी
salt,sal,muối,Salz,ملح,塩,नमक
sarcoidosis,sarcoidosis,bệnh sarcoidosis,Sarkoidose,الساركويد,サルコイドーシス,सारकॉइडोसिस
sars,SARS,bệnh sars,SARS,سارس,SARS,सार्स
saturated fat,grasas saturadas,chất béo bão hòa,gesättigte Fettsäuren,الدهون المشبعة,飽和脂肪,संतृप्त वसा
scabies,sarna,ghẻ,Krätze,الجرب,疥癬,खुजली
scalds,escaldaduras,bỏng,Verbrühungen,يحرق,やけど,झुलसना
scarlet fever,escarlatina,sốt ban đỏ,Scharlach,الحمى القرمزية,猩紅熱,लोहित ज्बर
scheduling of medicines and poisons,Clasificación de medicamentos y venenos,phân loại thuốc và chất độc,Einteilung von Medikamenten und Giften,جدولة الأدوية والسموم,医薬品および毒物の規制,दवाओं और जहरों का निर्धारण
schizoaffective disorder,trastorno esquizoafectivo,rối loạn tâm thần phân liệt,schizoaffektive Störung,اضطراب الفصام الوجداني,統合失調感情障害,स्किज़ोअफेक्टिव डिसऑर्डर
schizophrenia,esquizofrenia,tâm thần phân liệt,Schizophrenie,فُصام,統合失調症,एक प्रकार का मानसिक विकार
school exclusion,exclusión escolar,bị đuổi học,Schulausschluss,الاستبعاد من المدرسة,学校からの排除,स्कूल से निष्कासन
school exclusion periods,períodos de exclusión escolar,thời gian bị loại khỏi trường học,Schulausschlusszeiten,فترات الاستبعاد من المدرسة,学校からの退学期間,स्कूल से निष्कासन की अवधि
sciatica,ciática,đau thần kinh tọa,Ischias,عرق النسا,坐骨神経痛,साइटिका
scleroderma,esclerodermia,bệnh xơ cứng bì,Sklerodermie,تصلب الجلد,強皮症,त्वग्काठिन्य
scoliosis,escoliosis,vẹo cột sống,Skoliose,الجنف,脊柱側弯症,पार्श्वकुब्जता
scurvy,escorbuto,bệnh scurvy,Skorbut,داء الإسقربوط,壊血病,पाजी
sea sick,Mareo,say sóng,seekrank,دوار البحر,船酔い,समुद्री बीमारी
seafood allergies,alergias a los mariscos,dị ứng hải sản,Meeresfrüchteallergien,الحساسية تجاه المأكولات البحرية,魚介類アレルギー,समुद्री भोजन से एलर्जी
seasonal affective disorder,trastorno afectivo estacional,rối loạn cảm xúc theo mùa,saisonale affektive Störung,الاضطراب العاطفي الموسمي,季節性感情障害,मौसम की वजह से होने वाली बिमारी
seasonal flu,gripe estacional,cúm mùa,saisonale Grippe,الإنفلونزا الموسمية,季節性インフルエンザ,मौसमी फ्लू
seborrhoeic dermatitis,dermatitis seborreica,viêm da tiết bã,seborrhoische Dermatitis,التهاب الجلد الدهني,脂漏性皮膚炎,सेबोरहाइक डर्मेटाइटिस
seizures,convulsiones,cơn động kinh,Anfälle,نوبات,発作,बरामदगी
self-esteem,autoestima,lòng tự trọng,Selbstwertgefühl,تقدير الذات,自尊心,आत्मसम्मान
self-examination,autoexamen,tự kiểm tra,Selbstuntersuchung,الفحص الذاتي,自己検査,स्वयं परीक्षा
self-harm,autolesión,tự làm hại bản thân,Selbstverletzung,الأذى الذاتي,自傷,खुद को नुकसान
self-talk,diálogo interno,tự nói chuyện với bản thân,Selbstgespräch,الحديث مع النفس,自己対話,अपनी बात
seniors,personas mayores,người cao tuổi,Senioren,كبار السن,高齢者,वरिष्ठ
seniors' health,salud de las personas mayores,sức khỏe người cao tuổi,Gesundheit von Senioren,صحة كبار السن,高齢者の健康,वरिष्ठ नागरिकों का स्वास्थ्य
sensory impairments,deficiencias sensoriales,suy giảm giác quan,sensorische Beeinträchtigungen,الإعاقات الحسية,感覚障害,संवेदी हानि
sentinel node biopsy,biopsia del ganglio centinela,sinh thiết hạch gác,Sentinel-Lymphknotenbiopsie,خزعة العقدة الليمفاوية الحارسة,センチネルリンパ節生検,सेंटिनल नोड बायोप्सी
separation anxiety,ansiedad por separación,lo lắng chia ly,Trennungsangst,قلق الانفصال,分離不安,विभाजन की उत्कण्ठा
