en,es,vi,ar,de,hi,ja
septic arthritis,artritis séptica,viêm khớp nhiễm trùng,التهاب المفاصل الإنتاني,septische Arthritis,सेप्टिक गठिया,化膿性関節炎
septoplasty,septoplastia,phẫu thuật chỉnh vách ngăn mũi,عملية تجميل الحاجز الأنفي,Septumplastik,सेप्टोप्लास्टी,鼻中隔形成術
septorhinoplasty,septorrinoplastia,phẫu thuật chỉnh hình vách ngăn mũi,عملية تجميل الأنف,Septorhinoplastik,सेप्टोरिनोप्लास्टी,鼻中隔形成術
serotonin,serotonin,serotonin,السيروتونين,Serotonin,सेरोटोनिन,セロトニン
sever's disease,enfermedad de Sever,bệnh Sever,مرض سيفر,Sever-Krankheit,सेवर रोग,セーバー病
severe acute respiratory syndrome,síndrome respiratorio agudo grave,hội chứng hô hấp cấp tính nặng,متلازمة تنفسية حادة وخيمة,schweres akutes respiratorisches Syndrom,सीवियर एक्यूट रेस्पिरेटरी सिंड्रोम,重症急性呼吸器症候群
sex and disability,sexo y discapacidad,giới tính và khuyết tật,الجنس والإعاقة,Geschlecht und Behinderung,लिंग और विकलांगता,性別と障害
sexual assault,agresión sexual,tấn công tình dục,الاعتداء الجنسي,sexueller Übergriff,यौन उत्पीड़न,性的暴行
sexual harassment,Acoso sexual,quấy rối tình dục,التحرش الجنسي,sexuelle Belästigung,यौन उत्पीड़न,性的嫌がらせ
sexual health,salud sexual,sức khỏe tình dục,الصحة الجنسية,sexuelle Gesundheit,यौन स्वास्थ्य,性に関する健康
sexual problems,problemas sexuales,vấn đề tình dục,مشاكل جنسية,sexuelle Probleme,यौन समस्याएं,性的な問題
sexually transmitted infections,infecciones de transmisión sexual,các bệnh lây truyền qua đường tình dục,الأمراض المنقولة جنسياً,sexuell übertragbare Infektionen,यौन रूप से संक्रामित संक्रमण,性感染症
shigella,shigella,bệnh lỵ,الشيغيلا,Shigella,शिगेला,赤痢菌
shin splints,periostitis tibial,đau ống chân,التهاب عظم الساق,Schienbeinkantensyndrom,पिंडली में दर्द,脛骨過労性骨膜炎
shingles,herpes,bệnh zona,هربس نطاقي,Gürtelrose,दाद,帯状疱疹
shock,choque,sốc,صدمة,Schock,झटका,ショック
shocks,choques,cú sốc,الصدمات,Schocks,झटके,衝撃
shopping addiction,adicción a las compras,nghiện mua sắm,إدمان التسوق,Kaufsucht,खरीदारी की लत,買い物依存症
short-sightedness,miopía,cận thị,قصر النظر,Kurzsichtigkeit,अदूरदर्शिता,近視
short-term care,atención a corto plazo,chăm sóc ngắn hạn,الرعاية قصيرة الأجل,Kurzzeitpflege,अल्पकालिक देखभाल,短期介護
should i be tested for heart disease?,¿Debería hacerme pruebas para detectar enfermedades cardíacas?,Tôi có nên đi xét nghiệm bệnh tim không?,هل ينبغي عليّ الخضوع لفحص أمراض القلب؟,Sollte ich mich auf Herzkrankheiten untersuchen lassen?,क्या मुझे हृदय रोग की जांच करानी चाहिए?,心臓病の検査を受けるべきでしょうか？
should i be tested for skin cancer?,¿Debería hacerme una prueba para detectar cáncer de piel?,Tôi có nên đi xét nghiệm ung thư da không?,هل ينبغي عليّ الخضوع لفحص سرطان الجلد؟,Sollte ich mich auf Hautkrebs testen lassen?,क्या मुझे त्वचा कैंसर की जांच करानी चाहिए?,皮膚がんの検査を受けるべきでしょうか？
shoulder pain,dolor de hombro,đau vai,ألم في الكتف,Schulterschmerzen,कंधे में दर्द,肩の痛み
shoulder stabilisation surgery,cirugía de estabilización del hombro,phẫu thuật ổn định khớp vai,جراحة تثبيت الكتف,Schulterstabilisierungsoperation,कंधे को स्थिर करने की सर्जरी,肩関節安定化手術
shoulder surgery,cirugía de hombro,phẫu thuật vai,جراحة الكتف,Schulteroperation,कंधे की सर्जरी,肩の手術
sick children,niños enfermos,trẻ em bị bệnh,الأطفال المرضى,kranke Kinder,बीमार बच्चे,病気の子供たち
sickle cell anaemia,anemia falciforme,bệnh thiếu máu hồng cầu hình lưỡi liềm,فقر الدم المنجلي,Sichelzellenanämie,रक्त की लाल कोशिकाओं की कमी,鎌状赤血球貧血
side effects from medicines,efectos secundarios de los medicamentos,tác dụng phụ của thuốc,الآثار الجانبية للأدوية,Nebenwirkungen von Medikamenten,दवाओं के दुष्प्रभाव,薬の副作用
signs of mental health issues,señales de problemas de salud mental,dấu hiệu của các vấn đề sức khỏe tâm thần,علامات مشاكل الصحة النفسية,Anzeichen psychischer Probleme,मानसिक स्वास्थ्य समस्याओं के लक्षण,精神疾患の兆候
sildenafil,sildenafil,sildenafil,سيلدينافيل,Sildenafil,सिल्डेनाफिल,シルデナフィル
silicosis,silicosis,bệnh bụi phổi silic,داء السيليكا,Silikose,सिलिकोसिस,珪肺症
sinusitis,sinusitis,viêm xoang,التهاب الجيوب الأنفية,Sinusitis,साइनसाइटिस,副鼻腔炎
sjögren’s syndrome,síndrome de Sjögren,hội chứng Sjögren,متلازمة شوغرن,Sjögren-Syndrom,सजोग्रेन सिंड्रोम,シェーグレン症候群
skin,piel,da,جلد,Haut,त्वचा,肌
skin cancer,cáncer de piel,ung thư da,سرطان الجلد,Hautkrebs,त्वचा कैंसर,皮膚がん
skin conditions,afecciones de la piel,các bệnh về da,الأمراض الجلدية,Hauterkrankungen,त्वचा की स्थिति,皮膚疾患
skin staph infections,infecciones cutáneas por estafilococos,nhiễm trùng tụ cầu khuẩn trên da,عدوى المكورات العنقودية الجلدية,Hautinfektionen mit Staphylokokken,त्वचा के स्टैफ संक्रमण,皮膚ブドウ球菌感染症
skin tags,etiquetas de la piel,mụn thịt trên da,زوائد جلدية,Hautanhängsel,त्वचा की चिप्पी,スキンタグ
slapped cheek syndrome,síndrome de la mejilla abofeteada,hội chứng má đỏ,متلازمة الخد المصفوع,Ohrfeigen-Syndrom,थप्पड़ मारे गाल सिंड्रोम,頬を叩かれたような感覚
sleep,dormir,ngủ,ينام,schlafen,नींद,寝る
sleep disorders,trastornos del sueño,rối loạn giấc ngủ,اضطرابات النوم,Schlafstörungen,नींद संबंधी विकार,睡眠障害
sleep paralysis,parálisis del sueño,tê liệt khi ngủ,شلل النوم,Schlafparalyse,नींद पक्षाघात,睡眠麻痺
sleep tips for children,Consejos para que los niños duerman bien,lời khuyên về giấc ngủ cho trẻ em,نصائح نوم للأطفال,Schlaftipps für Kinder,बच्चों के लिए नींद संबंधी सुझाव,子供の睡眠に関するアドバイス
sleeping pills,píldoras para dormir,thuốc ngủ,حبوب منومة,Schlafmittel,नींद की गोलियां,睡眠薬
sleepwalking,somnambulismo,mộng du,المشي أثناء النوم,Schlafwandeln,नींद में चलने,夢遊病
sleeve gastrectomy surgery,cirugía de gastrectomía en manga,phẫu thuật cắt bỏ một phần dạ dày,جراحة تكميم المعدة,Schlauchmagen-Operation,स्लीव गैस्ट्रेक्टॉमी सर्जरी,スリーブ状胃切除術
slips,resbalones,trượt,انزلاقات,Rutschen,फिसल जाता है,スリップ
smallpox,viruela,bệnh đậu mùa,الجدري,Pocken,चेचक,天然痘
smoking,de fumar,hút thuốc,تدخين,Rauchen,धूम्रपान,喫煙
smoking and vaping,fumar y vapear,hút thuốc và thuốc lá điện tử,التدخين والتبخير الإلكتروني,Rauchen und Dampfen,धूम्रपान और वेपिंग,喫煙と電子タバコの使用
snake bites,mordeduras de serpiente,vết rắn cắn,لدغات الثعابين,Schlangenbisse,सांप ने काट लिया,ヘビに噛まれた
sneezing,estornudar,hắt hơi,العطس,Niesen,छींकना,くしゃみ
social anxiety,ansiedad social,lo âu xã hội,القلق الاجتماعي,soziale Angst,सामाजिक चिंता,社交不安
social behaviour disorders,trastornos del comportamiento social,rối loạn hành vi xã hội,اضطرابات السلوك الاجتماعي,Störungen des Sozialverhaltens,सामाजिक व्यवहार विकार,社会的行動障害
social workers,trabajadores sociales,nhân viên xã hội,الأخصائيون الاجتماعيون,Sozialarbeiter,सामाजिक कार्यकर्ता,ソーシャルワーカー
sodium,sodio,natri,الصوديوم,Natrium,सोडियम,ナトリウム
soft tissue sarcoma in children,sarcoma de tejidos blandos en niños,U sarcoma mô mềm ở trẻ em,ساركوما الأنسجة الرخوة عند الأطفال,Weichteilsarkom bei Kindern,बच्चों में नरम ऊतक सार्कोमा,小児の軟部組織肉腫
sore throats,dolor de garganta,đau họng,التهاب الحلق,Halsschmerzen,गले गले,喉の痛み
speech development in children,desarrollo del habla en los niños,sự phát triển ngôn ngữ ở trẻ em,تطور الكلام عند الأطفال,Sprachentwicklung bei Kindern,बच्चों में वाक् विकास,子どもの言語発達
speech pathology,patología del habla,bệnh lý ngôn ngữ,أخصائي أمراض النطق,Sprachpathologie,वाक् विकृति विज्ञान,言語療法
speech problems,problemas del habla,vấn đề về lời nói,مشاكل النطق,Sprachprobleme,बोलने में समस्याएँ,言語障害
speed,velocidad,tốc độ,سرعة,Geschwindigkeit,रफ़्तार,スピード
spider bites,picaduras de araña,vết cắn của nhện,لدغات العناكب,Spinnenbisse,मकड़ी के काटने,クモに噛まれた
spina bifida,espina bífida,tật nứt đốt sống,السنسنة المشقوقة,Spina bifida,स्पाइना बिफिडा,二分脊椎
spinal anaesthetic,anestesia espinal,gây tê tủy sống,التخدير النخاعي,Spinalanästhesie,स्पाइनल एनेस्थेटिक,脊髄麻酔
spinal cord injuries,lesiones de la médula espinal,chấn thương tủy sống,إصابات الحبل الشوكي,Rückenmarksverletzungen,रीढ़ की हड्डी की चोटें,脊髄損傷
spinal disc problems,problemas de disco espinal,các vấn đề về đĩa đệm cột sống,مشاكل العمود الفقري,Bandscheibenprobleme,रीढ़ की हड्डी की डिस्क संबंधी समस्याएं,椎間板の問題
spinal disorders,trastornos de la columna vertebral,rối loạn cột sống,اضطرابات العمود الفقري,Wirbelsäulenerkrankungen,रीढ़ की हड्डी के विकार,脊椎疾患
spinal muscular atrophy,atrofia muscular espinal,teo cơ cột sống,ضمور العضلات الشوكي,spinale Muskelatrophie,स्पाइनल मस्कुलर एट्रोफी,脊髄性筋萎縮症
spinal stenosis,estenosis espinal,hẹp ống sống,تضيق القناة الشوكية,Spinalkanalstenose,स्पाइनल स्टेनोसिस,脊柱管狭窄症
spleen problems,problemas del bazo,các vấn đề về lá lách,مشاكل الطحال,Milzprobleme,तिल्ली की समस्याएं,脾臓の問題
spondylolisthesis,espondilolistesis,trượt đốt sống,انزلاق الفقرات,Spondylolisthesis,स्पोंडिलोलिस्थेसिस,脊椎すべり症
sport benefits for children,Beneficios del deporte para los niños,Lợi ích của thể thao đối với trẻ em,فوائد رياضية للأطفال,Vorteile des Sports für Kinder,बच्चों के लिए खेल के लाभ,子供にとってのスポーツの利点
sports massage,masaje deportivo,massage thể thao,التدليك الرياضي,Sportmassage,खेल मालिश,スポーツマッサージ
spotting,punteo,phát hiện,رصد,Sichtung,खोलना,スポッティング
sprained ankle,esguince de tobillo,bong gân mắt cá chân,التواء الكاحل,verstauchtes Sprunggelenk,मोच खाए टखने,足首の捻挫
sprained wrist,esguince de muñeca,bong gân cổ tay,التواء في المعصم,verstauchtes Handgelenk,मोचग्रस्त कलाई,手首の捻挫
sprains and strains,esguinces y distensiones,bong gân và căng cơ,الالتواءات والإجهاد,Verstauchungen und Zerrungen,मोच और खिंचाव,捻挫と肉離れ
squamous cell carcinoma,carcinoma de células escamosas,ung thư biểu mô tế bào vảy,سرطانة حرشفية الخلايا,Plattenepithelkarzinom,त्वचा कोशिकाओं का कार्सिनोमा,扁平上皮癌
st john's wort,hierba de San Juan,cây Hypericum perforatum,نبتة سانت جون,Johanniskraut,सेंट जॉन का पौधा,セントジョーンズワート
standard drink,bebida estándar,đồ uống tiêu chuẩn,مشروب قياسي,Standardgetränk,मानक पेय,標準的な飲み物
stapedectomy,estapedectomía,phẫu thuật cắt bỏ xương bàn đạp,استئصال الركاب,Stapedektomie,स्टेपेडेक्टोमी,アブミ骨切除術
staph infections,infecciones por estafilococos,nhiễm trùng tụ cầu khuẩn,عدوى المكورات العنقودية,Staphylokokkeninfektionen,स्टैफ संक्रमण,ブドウ球菌感染症
statins,estatinas,statin,الستاتينات,Statine,स्टेटिन,スタチン
staying fit,mantenerse en forma,giữ dáng,الحفاظ على اللياقة البدنية,fit bleiben,चुस्त रहना,健康を維持する
staying motivated,mantenerse motivado,duy trì động lực,حافظ على حماسك,Motivation bewahren,प्रेरित रहना,モチベーションを維持する
staying safe during floods and cyclones,mantenerse a salvo durante inundaciones y ciclones,Giữ an toàn trong thời gian lũ lụt và bão lốc,الحفاظ على السلامة أثناء الفيضانات والأعاصير,Sicherheit bei Überschwemmungen und Zyklonen,बाढ़ और चक्रवात के दौरान सुरक्षित रहना,洪水やサイクロン発生時の安全確保
stem cells,células madre,tế bào gốc,الخلايا الجذعية,Stammzellen,स्टेम कोशिकाएं,幹細胞
steroid injection,inyección de esteroides,tiêm steroid,حقنة الستيرويد,Steroidinjektion,स्टेरॉयड इंजेक्शन,ステロイド注射
steroids,esteroides,steroid,المنشطات,Steroide,'स्टेरॉयड,ステロイド
sticky eye,ojo pegajoso,con mắt dính,عين لزجة,klebriges Auge,चिपचिपी आँख,粘着眼
stimulant drugs,drogas estimulantes,thuốc kích thích,الأدوية المنشطة,Stimulanzien,उत्तेजक दवाएँ,覚醒剤
stinging plants,plantas urticantes,cây có gai,النباتات اللاذعة,Brennnesselpflanzen,चुभने वाले पौधे,刺す植物
stings and bites,picaduras y mordeduras,vết chích và vết cắn,اللسعات واللدغات,Stiche und Bisse,डंक और काटने,刺したり噛んだりする
stis,stis,stis,الأمراض المنقولة جنسياً,stis,एसटीआई,スティス
stis screening tests,pruebas de detección de ETS,xét nghiệm sàng lọc bệnh lây truyền qua đường tình dục,اختبارات الكشف عن الأمراض المنقولة جنسياً,STI-Screeningtests,एसटीआई स्क्रीनिंग परीक्षण,性感染症スクリーニング検査
stoma,estoma,lỗ mở,فغر,Stoma,स्टोमा,ストーマ
stomach cancer,cáncer de estómago,ung thư dạ dày,سرطان المعدة,Magenkrebs,आमाशय का कैंसर,胃癌
stomach pain,dolor de estómago,đau bụng,ألم في المعدة,Magenschmerzen,पेट दर्द,腹痛
stomach ulcers,úlceras estomacales,loét dạ dày,قرحة المعدة,Magengeschwüre,पेट के अल्सर,胃潰瘍
stool changes,cambios en las heces,thay đổi phân,تغيرات في البراز,Stuhlveränderungen,मल में परिवर्तन,便の変化
stool tests,análisis de heces,xét nghiệm phân,اختبارات البراز,Stuhltests,मल परीक्षण,便検査
storms,tormentas,bão,العواصف,Stürme,तूफान,嵐
strains and sprains,distensiones y esguinces,bong gân và căng cơ,الالتواءات والإجهادات,Zerrungen und Verstauchungen,मरोड़ और मोच,捻挫と挫傷
strength training,entrenamiento de fuerza,tập luyện sức mạnh,تدريب القوة,Krafttraining,मज़बूती की ट्रेनिंग,筋力トレーニング
streptococcal infection,infección estreptocócica,nhiễm trùng liên cầu khuẩn,عدوى المكورات العقدية,Streptokokkeninfektion,स्ट्रेप्टोकोकल संक्रमण,連鎖球菌感染症
stress,estrés,nhấn mạnh,ضغط,Stress,तनाव,ストレス
stress in young people,estrés en los jóvenes,căng thẳng ở người trẻ,التوتر لدى الشباب,Stress bei jungen Menschen,युवाओं में तनाव,若者のストレス
stress relief and relaxation,alivio del estrés y relajación,giảm căng thẳng và thư giãn,تخفيف التوتر والاسترخاء,Stressabbau und Entspannung,तनाव से मुक्ति और आराम,ストレス解消とリラクゼーション
stroke,ataque,đột quỵ,سكتة دماغية,Schlaganfall,आघात,脳卒中
stuttering,tartamudeo,nói lắp,التأتأة,Stottern,हकलाना,どもり
stye,orzuelo,lẹo mắt,جذر الشعرة,Schweinestall,स्टाई,麦粒腫
subdural haematoma,hematoma subdural,tụ máu dưới màng cứng,ورم دموي تحت الجافية,Subduralhämatom,सबड्यूरल हेमाटोमा,硬膜下血腫
substance misuse,abuso de sustancias,lạm dụng chất gây nghiện,إساءة استخدام المواد المخدرة,Substanzmissbrauch,मादक पदार्थों का दुरुपयोग,薬物乱用
sudden infant death syndrome,síndrome de muerte súbita del lactante,hội chứng đột tử ở trẻ sơ sinh,متلازمة موت الرضع المفاجئ,Plötzlicher Kindstod,अचानक शिशु मृत्यु सिंड्रोम,乳幼児突然死症候群
sugar,azúcar,đường,سكر,Zucker,चीनी,砂糖
suicidal thoughts,pensamientos suicidas,ý nghĩ tự tử,أفكار انتحارية,Selbstmordgedanken,आत्महत्या के विचार,自殺願望
suicide,suicidio,tự tử,انتحار,Selbstmord,आत्मघाती,自殺
suicide warning signs,señales de advertencia de suicidio,dấu hiệu cảnh báo tự tử,علامات تحذيرية للانتحار,Suizid-Warnzeichen,आत्महत्या के चेतावनी संकेत,自殺の兆候
summer skin rashes,erupciones cutáneas de verano,phát ban da mùa hè,طفح جلدي صيفي,Sommerliche Hautausschläge,गर्मी के मौसम में त्वचा पर चकत्ते,夏の皮膚発疹
sunburn and sun protection,quemaduras solares y protección solar,cháy nắng và bảo vệ da khỏi ánh nắng mặt trời,حروق الشمس والحماية من الشمس,Sonnenbrand und Sonnenschutz,धूप से त्वचा का जलना और धूप से बचाव,日焼けと日焼け対策
sunscreen,protector solar,kem chống nắng,واقي الشمس,Sonnenschutzmittel,सनस्क्रीन,日焼け止め
support for children with cancer,apoyo para niños con cáncer,hỗ trợ cho trẻ em mắc bệnh ung thư,دعم الأطفال المصابين بالسرطان,Unterstützung für krebskranke Kinder,कैंसर से पीड़ित बच्चों के लिए सहायता,がんを患う子どもたちへの支援
support for parents of children with cancer,apoyo para padres de niños con cáncer,Hỗ trợ cho cha mẹ có con mắc bệnh ung thư,دعم آباء الأطفال المصابين بالسرطان,Unterstützung für Eltern von krebskranken Kindern,कैंसर से पीड़ित बच्चों के माता-पिता के लिए सहायता,がんを患う子どもの親への支援
surgery,cirugía,ca phẫu thuật,جراحة,Operation,शल्य चिकित्सा,手術
surgery for anal fistula,cirugía para fístula anal,phẫu thuật điều trị rò hậu môn,جراحة الناسور الشرجي,Operation bei Analfistel,गुदा फिस्टुला के लिए सर्जरी,肛門瘻の手術
surgery for benign scrotal lumps,Cirugía para extirpar bultos escrotales benignos,phẫu thuật điều trị u lành tính ở bìu,جراحة لعلاج الأورام الحميدة في كيس الصفن,Operation bei gutartigen Hodensackknoten,अंडकोष में सौम्य गांठों के लिए सर्जरी,良性陰嚢腫瘤の手術
surgery for de quervain's disease,Cirugía para la enfermedad de De Quervain,phẫu thuật điều trị bệnh De Quervain,جراحة لعلاج مرض دي كيرفان,Operation bei Morbus De Quervain,डीक्वेरवेन रोग के लिए सर्जरी,ドケルバン病の手術
surgery for diverticular disease,cirugía para la enfermedad diverticular,phẫu thuật điều trị bệnh túi thừa,جراحة لعلاج داء الرتج,Operation bei Divertikulose,डायवर्टिकुलर रोग के लिए सर्जरी,憩室疾患の手術
surgery for ingrowing toenail,Cirugía para uña encarnada,phẫu thuật điều trị móng chân mọc ngược,جراحة لعلاج ظفر القدم الناشب,Operation bei eingewachsenem Zehennagel,पैर के नाखून के अंदर की ओर बढ़ने की सर्जरी,巻き爪の手術
surgery for large hiatus hernia,cirugía para hernia hiatal grande,phẫu thuật điều trị thoát vị hoành lớn,جراحة الفتق الحجابي الكبير,Operation bei großem Zwerchfellbruch,बड़े हायटस हर्निया के लिए सर्जरी,大きな食道裂孔ヘルニアの手術
surgery for pilonidal sinus,Cirugía para el quiste pilonidal,phẫu thuật điều trị u nang lông vùng hậu môn,جراحة الناسور الشعري,Operation bei Steißbeinfistel,पिलोनाइडल साइनस के लिए सर्जरी,毛巣洞の手術
surgery for problems of the small toes,Cirugía para problemas de los dedos pequeños de los pies,phẫu thuật điều trị các vấn đề về ngón chân út,جراحة لعلاج مشاكل أصابع القدم الصغيرة,Operation bei Problemen der kleinen Zehen,पैर की छोटी उंगलियों की समस्याओं के लिए सर्जरी,小指の疾患に対する手術
surgery for rectal cancer,cirugía para el cáncer de recto,phẫu thuật điều trị ung thư trực tràng,جراحة سرطان المستقيم,Operation bei Rektumkarzinom,मलाशय के कैंसर के लिए सर्जरी,直腸がんの手術
surgery for tennis elbow,Cirugía para el codo de tenista,phẫu thuật điều trị viêm khuỷu tay do chơi tennis,جراحة لعلاج مرفق التنس,Operation bei Tennisarm,टेनिस एल्बो के लिए सर्जरी,テニス肘の手術
surgical and medical abortions,abortos quirúrgicos y médicos,phá thai bằng phẫu thuật và bằng thuốc,عمليات الإجهاض الجراحية والطبية,chirurgische und medikamentöse Schwangerschaftsabbrüche,शल्य चिकित्सा और चिकित्सीय गर्भपात,外科的および薬物による中絶
swallowed object,objeto tragado,vật thể bị nuốt,جسم مبتلع,verschluckter Gegenstand,निगली हुई वस्तु,飲み込んだ異物
swallowed substance,sustancia ingerida,chất nuốt,المادة المبتلعة,verschluckte Substanz,निगला हुआ पदार्थ,飲み込んだ物質
sweating,transpiración,đổ mồ hôi,التعرق,Schwitzen,पसीना आना,発汗
sweats,sudor,mồ hôi,عرق,Schweißausbrüche,पसीना,スウェット
swedish massage,masaje sueco,massage Thụy Điển,التدليك السويدي,schwedische Massage,स्वीडिश संदेश,スウェーデン式マッサージ
swelling in groin,hinchazón en la ingle,sưng ở háng,تورم في منطقة الفخذ,Schwellung in der Leiste,कमर में सूजन,鼠径部の腫れ
swimmer's ear,oído de nadador,tai của người bơi,أذن السباح,Schwimmerohr,तैराक का कान,水泳耳
swimming,nadar,bơi,سباحة,Baden,तैरना,水泳
swimming safety,seguridad en la natación,an toàn khi bơi,السلامة أثناء السباحة,Schwimmsicherheit,तैराकी सुरक्षा,水泳時の安全
swollen glands,ganglios inflamados,hạch sưng,الغدد المتورمة,geschwollene Drüsen,सूजी हुई ग्रंथियाँ,リンパ腺の腫れ
swollen or painful testicle,testículo hinchado o doloroso,tinh hoàn sưng hoặc đau,خصية متورمة أو مؤلمة,geschwollener oder schmerzhafter Hoden,सूजा हुआ या दर्दनाक अंडकोष,睾丸の腫れや痛み
symptom checker,comprobador de síntomas,công cụ kiểm tra triệu chứng,مدقق الأعراض,Symptom-Checker,लक्षण जांचकर्ता,症状チェッカー
symptoms of serious illness in babies and children,Síntomas de enfermedades graves en bebés y niños,các triệu chứng của bệnh nặng ở trẻ sơ sinh và trẻ em,أعراض الأمراض الخطيرة عند الرضع والأطفال,Symptome schwerer Erkrankungen bei Säuglingen und Kindern,शिशुओं और बच्चों में गंभीर बीमारी के लक्षण,乳幼児の重篤な病気の症状
syndrome x,síndrome x,hội chứng x,متلازمة إكس,Syndrom X,सिंड्रोम x,症候群X
syphilis,sífilis,bệnh giang mai,الزهري,Syphilis,उपदंश,梅毒
syringe injuries,lesiones por jeringas,chấn thương do kim tiêm,إصابات الحقن,Verletzungen durch Spritzen,सिरिंज से होने वाली चोटें,注射器による怪我
tachycardia,taquicardia,nhịp tim nhanh,تسرع القلب,Tachykardie,tachycardia,頻脈
tadalafil,tadalafil,tadalafil,تادالافيل,Tadalafil,Tadalafil,タダラフィル
tai chi,tai chi,thái cực quyền,تاي تشي,Tai Chi,ताई ची,太極拳
tailbone pain and injury,Dolor y lesiones en el coxis,Đau và chấn thương xương cụt,ألم وإصابة في عظم العصعص,Steißbeinschmerzen und -verletzungen,टेलबोन में दर्द और चोट,尾骨の痛みと怪我
taking opioid medicines safely,tomar medicamentos opioides de forma segura,sử dụng thuốc opioid một cách an toàn,تناول الأدوية الأفيونية بأمان,sichere Einnahme von Opioidmedikamenten,ओपिओइड दवाओं का सुरक्षित सेवन,オピオイド系鎮痛薬を安全に服用する
talking about your mental health concerns,Hablar sobre tus preocupaciones de salud mental,Nói về những lo ngại của bạn,التحدث عن مخاوفك المتعلقة بالصحة النفسية,über Ihre psychischen Gesundheitsprobleme sprechen,अपनी मानसिक स्वास्थ्य संबंधी चिंताओं के बारे में बात करना,メンタルヘルスの悩みについて話す
talking to your doctor about mental health,hablar con tu médico sobre salud mental,Trao đổi với bác sĩ về sức khỏe tâm thần.,التحدث مع طبيبك حول الصحة النفسية,Sprechen Sie mit Ihrem Arzt über psychische Gesundheit,अपने डॉक्टर से मानसिक स्वास्थ्य के बारे में बात करना,メンタルヘルスについて医師と話し合う
talking to your employer about illness,hablar con tu empleador sobre la enfermedad,Trao đổi với chủ lao động về tình trạng sức khỏe của bạn.,التحدث مع صاحب العمل بشأن المرض,Sprechen Sie mit Ihrem Arbeitgeber über Ihre Krankheit,अपने नियोक्ता से बीमारी के बारे में बात करना,病気について雇用主と話し合う
tampon,tampón,băng vệ sinh,حشا,Tampon,तंपन,タンポン
tapentadol,tapentadol,tapentadol,تابينتادول,Tapentadol,टैपेंटाडोल,タペンタドール
tapeworm,tenia,sán dây,الشريطية,Bandwurm,टेपवर्म,サナダムシ
tattoo,tatuaje,hình xăm,وشم,Tätowierung,टटू,入れ墨
tay-sachs disease,enfermedad de Tay-Sachs,bệnh tay-sachs,مرض تاي ساكس,Tay-Sachs-Krankheit,टे-सैक्स रोग,テイ・サックス病
tb,tuberculosis,lao,السل,tb,टीबी,結核
teen aggression,agresión adolescente,sự hung hăng của tuổi teen,عدوانية المراهقين,Aggression bei Jugendlichen,किशोरों की आक्रामकता,十代の攻撃性
teenage anxiety,ansiedad adolescente,lo lắng tuổi thiếu niên,قلق المراهقين,Angstzustände bei Teenagern,किशोरों की चिंता,十代の不安
teenagers and adolescent's mental health,salud mental de adolescentes y jóvenes,sức khỏe tâm thần của thanh thiếu niên và vị thành niên,الصحة النفسية للمراهقين والشباب,psychische Gesundheit von Teenagern und Jugendlichen,किशोरों और युवा वयस्कों का मानसिक स्वास्थ्य,10代の若者と青年のメンタルヘルス
teenagers' health,salud de los adolescentes,sức khỏe của thanh thiếu niên,صحة المراهقين,Gesundheit von Teenagern,किशोरों का स्वास्थ्य,十代の若者の健康
teeth,dientes,răng,أسنان,Zähne,दाँत,歯
teeth grinding,rechinar los dientes,nghiến răng,صرير الأسنان,Zähneknirschen,दांत पीसना,歯ぎしり
teeth whitening,blanqueamiento dental,làm trắng răng,تبييض الأسنان,Zahnaufhellung,दांतों को सफेद करना,歯のホワイトニング
temazepam,temazepam,temazepam,تيمازيبام,Temazepam,टेमाजेपाम,テマゼパム
temporomandibular joint arthroscopy,artroscopia de la articulación temporomandibular,nội soi khớp thái dương hàm,تنظير المفصل الصدغي الفكي,Kiefergelenksarthroskopie,टेम्पोरोमैंडिबुलर जॉइंट आर्थ्रोस्कोपी,顎関節鏡検査
temporomandibular joint dysfunction,disfunción de la articulación temporomandibular,rối loạn chức năng khớp thái dương hàm,خلل في المفصل الصدغي الفكي,Funktionsstörung des Kiefergelenks,टेम्पोरोमैंडिबुलर जोड़ की शिथिलता,顎関節機能障害
tendinopathy,tendinopatía,viêm gân,اعتلال الأوتار,Tendinopathie,टेंडिनोपैथी,腱障害
tendinosis,tendinosis,viêm gân,التهاب الأوتار,Tendinose,Tendinosis,腱炎
tendonitis,tendinitis,viêm gân,التهاب الأوتار,Sehnenentzündung,टेंडोनाइटिस,腱炎
tennis elbow,codo de tenista,khuỷu tay tennis,مرفق التنس,Tennisarm,क्रिकेट कोहनी,テニス肘
tennis elbow surgery,Cirugía de codo de tenista,phẫu thuật khuỷu tay tennis,جراحة مرفق التنس,Tennisarm-Operation,टेनिस एल्बो सर्जरी,テニス肘手術
tens,decenas,hàng chục,عشرات,Zehner,दसियों,10
tension headache,dolor de cabeza,đau đầu do căng thẳng,صداع التوتر,Spannungskopfschmerzen,तनाव सिरदर्द,緊張型頭痛
terminal conditions and grief,enfermedades terminales y duelo,bệnh nan y và nỗi đau buồn,الحالات المرضية الميؤوس من شفائها والحزن,unheilbare Krankheiten und Trauer,असाध्य स्थितियाँ और शोक,末期症状と悲しみ
terminal illness,enfermedad terminal,bệnh nan y,مرض عضال,unheilbare Krankheit,लाइलाज बीमारी,末期疾患
termination,terminación,chấm dứt,إنهاء الخدمة,Beendigung,समापन,終了
